name,rankingPosition,priceLevel,category,rating,address,numberOfReviews
Hopetoun Tea Rooms est. 1892,26,$$ - $$$,restaurant,4.5,"421 Bourke St Hopetoun Tea Rooms, Melbourne, Victoria 3000 Australia",2311
Da Guido La Pasta,2,$$ - $$$,restaurant,4.5,"130 Lygon St Carlton, Melbourne, Victoria 3053 Australia",1095
Foglia di Fico,3,$$ - $$$,restaurant,5.0,"585 La Trobe St (Spencer St entrance), Melbourne, Victoria 3000 Australia",202
Pidapipo Gelateria,11,$,restaurant,4.5,"299 Lygon St, Carlton, Melbourne, Victoria 3053 Australia",433
Kazuki's,9,$$$$,restaurant,4.5,"121 Lygon St Carlton, Melbourne, Victoria 3053 Australia",500
Hochi Mama,17,$$ - $$$,restaurant,4.5,"35 Little Bourke St, Melbourne, Victoria 3000 Australia",1469
Sezar,18,$$ - $$$,restaurant,4.5,"6 Melbourne Pl, Melbourne, Victoria 3000 Australia",1024
The French Brasserie,19,$$$$,restaurant,4.5,"2 Malthouse Lane, Melbourne, Victoria 3000 Australia",721
The Railway Club Hotel Steakhouse,24,$$ - $$$,restaurant,4.5,"107 Raglan St Port Melbourne, Melbourne, Victoria 3207 Australia",680
Bistrot d'Orsay,29,$$ - $$$,restaurant,4.5,"184 Collins St, Melbourne, Victoria 3000 Australia",497
Da Guido 365,7,$$ - $$$,restaurant,4.5,"365 Little Collins St, Melbourne, Victoria 3000 Australia",524
Roule Galette Melbourne,8,$,restaurant,4.5,"241 Flinders Lane Shop 1, Melbourne, Victoria 3000 Australia",604
Eau De Vie,15,$$ - $$$,restaurant,4.5,"1 Malthouse Lane, Melbourne, Victoria 3000 Australia",814
Tipo 00,20,$$ - $$$,restaurant,4.5,"361 Little Bourke St, Melbourne, Victoria 3000 Australia",823
Ruyi Modern Chinese,25,$$ - $$$,restaurant,4.5,"16 Liverpool St, Melbourne, Victoria 3000 Australia",377
David's Master Pot (Elizabeth St - CBD),21,$$ - $$$,restaurant,5.0,"462 Elizabeth St, Melbourne, Victoria 3000 Australia",140
Longrain,28,$$ - $$$,restaurant,4.5,"44 Little Bourke St, Melbourne, Victoria 3000 Australia",1172
Straight Outta Saigon,13,$$ - $$$,restaurant,4.5,"138 Russell Street Ground level, Melbourne, Victoria 3000 Australia",337
Patricia Coffee Brewers,27,$,restaurant,4.5,"493-495 Little Bourke St, Melbourne, Victoria 3000 Australia",212
Coda,49,$$$$,restaurant,4.5,"141 Flinders Lane, Melbourne, Victoria 3000 Australia",1150
Bowery to Williamsburg,55,$$ - $$$,restaurant,4.5,"16 Oliver Lane, Melbourne, Victoria 3000 Australia",322
Rare Steakhouse Midtown,51,$$ - $$$,restaurant,4.5,"12 Goldie Pl, Melbourne, Victoria 3000 Australia",344
Seven Seeds,46,$$ - $$$,restaurant,4.5,"114 Berkley Street Carlton, Melbourne, Victoria Australia",381
Bettyâ€™s Burgers & Concrete Co,44,$,restaurant,4.5,"97 Elizabeth St, Melbourne, Victoria 3000 Australia",1215
seamstress,36,$$ - $$$,restaurant,4.5,"113 Lonsdale St, Melbourne, Victoria 3000 Australia",501
Laksa King,61,$,restaurant,4.5,"6-12 Pin Oak Cres Flemington, Melbourne, Victoria 3031 Australia",557
Sud Food and Wine,56,$$ - $$$,restaurant,4.5,"219 King St, Melbourne, Victoria 3000 Australia",230
11 Inch Pizza,4,$,restaurant,4.5,"Shop 7A 353 Little Collins St, Melbourne, Victoria 3000 Australia",324
Operator 25,22,$$ - $$$,restaurant,4.5,"25 Wills St, Melbourne, Victoria 3000 Australia",447
Koko Black Chocolate,38,$$ - $$$,restaurant,4.5,"52 Collins St, Melbourne, Victoria 3000 Australia",558
Auction Rooms,57,$$ - $$$,restaurant,4.5,"103-107 Errol St, Melbourne, Victoria 3051 Australia",432
Tonka,58,$$$$,restaurant,4.5,"20 Duckboard Pl, Melbourne, Victoria 3000 Australia",817
Il Solito Posto,23,$$ - $$$,restaurant,4.5,"113 Collins St via George Parade, Melbourne, Victoria 3000 Australia",989
Geppetto Trattoria,5,$$ - $$$,restaurant,4.5,"78A Wellington Pde, Melbourne, Victoria 3002 Australia",439
Scopri,1,$$ - $$$,restaurant,5.0,"191 Nicholson St Carlton, Melbourne, Victoria 3053 Australia",1049
Railway Hotel,52,$$ - $$$,restaurant,4.5,"280 Ferrars St, Melbourne, Victoria 3205 Australia",267
Afternoon Tea at The Hotel Windsor,41,$$$$,restaurant,4.5,"111 Spring Street The Hotel Windsor, Melbourne, Victoria 3000 Australia",1508
Piccolo Mondo,47,$$ - $$$,restaurant,4.5,"240 Lygon St Carlton, Melbourne, Victoria 3053 Australia",735
1932 Cafe & Restaurant,50,$$ - $$$,restaurant,4.5,"220 Collins St Manchester Unity Building, Melbourne, Victoria 3000 Australia",443
+39 Pizzeria,48,$$ - $$$,restaurant,4.5,"362 Little Bourke St, Melbourne, Victoria 3000 Australia",1232
Red Spice Road,31,$$ - $$$,restaurant,4.5,"141 Queen St, Melbourne, Victoria 3000 Australia",1737
Straits Cafe Melbourne,75,$$ - $$$,restaurant,4.5,"Rendezvous Hotel Melbourne 328 Flinders St, Melbourne, Victoria 3000 Australia",262
Om Nom,83,$$$$,restaurant,4.0,"187 Flinders Lane Adelphi Hotel, Melbourne, Victoria 3000 Australia",545
MoVida Aqui,81,$$ - $$$,restaurant,4.5,"Nab Building, 1 500 Bourke St NAB Building, Melbourne, Victoria 3000 Australia",752
Cicciolina,62,$$ - $$$,restaurant,4.5,"130 Acland St, Melbourne, Victoria 3182 Australia",375
Movida Bar de Tapas,72,$$ - $$$,restaurant,4.5,"1 Hosier Lane, Melbourne, Victoria 3000 Australia",2760
The Sherlock Holmes,64,$$ - $$$,restaurant,4.5,"415 Collins St, Melbourne, Victoria 3000 Australia",344
Rare Steakhouse Downtown,60,$$ - $$$,restaurant,4.5,"42-44 King St, Melbourne, Victoria 3000 Australia",516
Rice Paper Scissors,6,$$ - $$$,restaurant,4.5,"15 Hardware Lane, Melbourne, Victoria 3000 Australia",2701
Ganache Chocolate,87,$$ - $$$,restaurant,4.5,"245 Collins St, Melbourne, Victoria 3000 Australia",260
Flower Drum,42,$$$$,restaurant,4.5,"17 Market Lane, Melbourne, Victoria 3000 Australia",1367
Rare Steakhouse Uptown,40,$$ - $$$,restaurant,4.5,"61 Little Collins St Shop 6, Melbourne, Victoria 3000 Australia",755
Manchester Press,84,$$ - $$$,restaurant,4.5,"8 Rankins Lane, Melbourne, Victoria 3000 Australia",500
Caterina's Cucina E Bar,85,$$ - $$$,restaurant,5.0,"221 Queen St, Melbourne, Victoria 3000 Australia",111
Delhi Streets Indian Street Food,37,$,restaurant,4.5,"22 Katherine Pl, Melbourne, Victoria 3000 Australia",262
Amiconi,71,$$ - $$$,restaurant,4.5,"359 Victoria St Locality is West Melbourne, Melbourne, Victoria 3003 Australia",181
La Luna Bistro,69,$$ - $$$,restaurant,4.5,"320 Rathdowne St Carlton, North, Melbourne, Victoria 3054 Australia",384
pastuso,78,$$ - $$$,restaurant,4.5,"19 Acdc Lane Off Flinders Lane Between Collins St and Exhibition St, Melbourne, Victoria 3000 Australia",857
Brunetti Classico - Carlton,79,$$ - $$$,restaurant,4.5,"380 Lygon St 380 Lygon St, Carlton Vic, Melbourne, Victoria 3053 Australia",3247
Lucy Liu Kitchen and Bar,67,$$ - $$$,restaurant,4.5,"23 Oliver Lane, Melbourne, Victoria 3000 Australia",1195
Max Bar Restaurant,63,$$ - $$$,restaurant,4.0,"54 - 58 Hardware Lane, Melbourne, Victoria 3000 Australia",1405
San Telmo,66,$$ - $$$,restaurant,4.5,"14 Meyers Pl, Melbourne, Victoria 3000 Australia",709
Bamboo House Chinese Restaurant,90,$$ - $$$,restaurant,4.5,"47 Little Bourke St, Melbourne, Victoria 3000 Australia",405
Vue De Monde,33,$$$$,restaurant,4.5,"525 Collins St Rialto Building 55th Floor, Melbourne, Victoria 3000 Australia",2035
Il Bacaro Cucina e Bar,12,$$$$,restaurant,4.5,"68-170 Little Collins St 168-170 Little Collins St, Melbourne, Victoria 3000 Australia",504
Grand Trailer Park Taverna,82,$$ - $$$,restaurant,4.5,"87 Bourke St, Melbourne, Victoria 3000 Australia",296
B'Churrasco Brazilian BBQ,43,$$ - $$$,restaurant,4.5,"61 A'Beckett St, Melbourne, Victoria 3000 Australia",557
The Hardware Societe,35,$$ - $$$,restaurant,4.5,"10 Katherine Pl, Melbourne, Victoria 3000 Australia",1879
Supernormal,53,$$ - $$$,restaurant,4.5,"180 Flinders Lane, Melbourne, Victoria 3000 Australia",1619
Embla,70,$$ - $$$,restaurant,4.5,"122 Russell St, Melbourne, Victoria 3000 Australia",266
Cucinetta,10,$$ - $$$,restaurant,4.5,"U 4 3 Murphy St South Yarra, Melbourne, Victoria 3141 Australia",401
Chocolate Buddha,32,$$ - $$$,restaurant,4.5,"Cnr. Flinders & Swanston Street Federation Square, Melbourne, Victoria 3000 Australia",717
The Grain Store,39,$$ - $$$,restaurant,4.5,"Ground Floor 517 Flinders Lane, Melbourne, Victoria 3000 Australia",1248
Cargo Restaurant,86,$$ - $$$,restaurant,4.5,"Docklands Melbourne, Melbourne, Victoria 3008 Australia",696
Cecconi's Flinders Lane,80,$$$$,restaurant,4.5,"61 Flinders Lane, Melbourne, Victoria 3000 Australia",539
MoVida Next Door,73,$$ - $$$,restaurant,4.5,"164 Flinders St, Melbourne, Victoria 3000 Australia",528
Punch Lane,34,$$ - $$$,restaurant,4.5,"43 Little Bourke St, Melbourne, Victoria 3000 Australia",667
DOC Pizza & Mozzarella Bar,91,$$ - $$$,restaurant,4.5,"295 Drummond St, Melbourne, Victoria 3053 Australia",672
Kenzan Japanese Restaurant,105,$$ - $$$,restaurant,4.5,"56 Flinders Lane At Collins Place, Melbourne, Victoria 3000 Australia",278
Seasons Provedore,102,$$ - $$$,restaurant,4.5,"199 Lygon St, Melbourne, Victoria 3053 Australia",494
1806,110,$$ - $$$,restaurant,4.5,"169 Exhibition St, Melbourne, Victoria 3000 Australia",259
The Meat & Wine Co Southbank,112,$$ - $$$,restaurant,4.0,"3 Freshwater Pl 3 Queensbridge Street, Melbourne, Victoria 3006 Australia",1478
Philippe,103,$$$$,restaurant,4.5,"115 Collins St, Melbourne, Victoria 3000 Australia",261
The Quarter,94,$$ - $$$,restaurant,4.0,"27 Degraves St, Melbourne, Victoria 3000 Australia",745
Cookie,95,$$ - $$$,restaurant,4.0,"U 1 252 Swanston St Level 1, 252 Swanston St, Melbourne, Victoria 3000 Australia",1050
P.J.O'Brien's Irish Pub,92,$$ - $$$,restaurant,4.0,"Southgate Southgate Restaurant & Shopping Precinct, Melbourne, Victoria 3006 Australia",544
The  European,97,$$ - $$$,restaurant,4.0,"161 Spring St, Melbourne, Victoria 3000 Australia",951
Rosco's at Chevron Cafe Bar,118,$$ - $$$,restaurant,4.5,"14/519 St Kilda Rd, Melbourne, Victoria 3004 Australia",262
Hakata Gensuke Ramen,54,$,restaurant,4.5,"168 Russell St, Melbourne, Victoria 3000 Australia",369
Taxi Kitchen,76,$$ - $$$,restaurant,4.5,"Level 1, Federation Square, Flinders Street Transport Hotel, Melbourne, Victoria 3000 Australia",953
Bomba,65,$$ - $$$,restaurant,4.5,"103 Lonsdale St, Melbourne, Victoria 3000 Australia",457
Cumulus Inc.,59,$$ - $$$,restaurant,4.5,"45 Flinders La, Melbourne, Victoria 3000 Australia",2123
Gingerboy,77,$$ - $$$,restaurant,4.5,"27-29 Crossley St, Melbourne, Victoria 3000 Australia",990
Grill Steak Seafood,68,$$ - $$$,restaurant,4.5,"68 - 78 Hardware Lane, Melbourne, Victoria 3000 Australia",1479
Milk the Cow,2,$$ - $$$,restaurant,4.5,"U 1 157 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",338
Berth,109,$$ - $$$,restaurant,4.0,"45 New Quay Promenade Docklands, Melbourne, Victoria 3008 Australia",568
Carlton Wine Room,142,$$ - $$$,restaurant,4.5,"172-174 Faraday Street Carlton, Melbourne, Victoria Australia",205
Mamasita,135,$$ - $$$,restaurant,4.0,"11 Collins St, Melbourne, Victoria 3000 Australia",1307
The Meatball and Wine Bar,132,$$ - $$$,restaurant,4.0,"135 Flinders Lane, Melbourne, Victoria 3000 Australia",699
A Hereford Beefstouw,139,$$ - $$$,restaurant,4.5,"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",199
Cafe Rosco,130,$$ - $$$,restaurant,4.5,"407D St Kilda Rd, Melbourne, Victoria 3004 Australia",232
BangPop,119,$$ - $$$,restaurant,4.0,"35 South Wharf Promenade Off Dukes Walk, South Wharf, Melbourne, Victoria 3006 Australia",559
Caffe e Cucina,147,$$ - $$$,restaurant,4.0,"581 Chapel St South Yarra, Melbourne, Victoria 3141 Australia",490
Melba Restaurant,125,$$$$,restaurant,4.0,"1 Southgate Ave The Langham, Southbank, Melbourne, Victoria 3006 Australia",1306
Chokolait Hub,106,$$ - $$$,restaurant,4.5,"287 Lonsdale St Shop 342, Level 3, Emporium, Melbourne, Victoria 3000 Australia",410
Waterfront,99,$$$$,restaurant,4.0,"Southgate Avenue Shop 20/3, Melbourne, Victoria 3006 Australia",1525
HQ's On William,122,$$ - $$$,restaurant,4.5,"380 William St Radisson on Flagstaff Gardens, Melbourne, Victoria 3000 Australia",306
Bottega,96,$$$$,restaurant,4.0,"74 Bourke St, Melbourne, Victoria 3000 Australia",405
Shanghai Street,121,$,restaurant,4.0,"342 Little Bourke St, Melbourne, Victoria 3000 Australia",595
Lupino Bistro and Bar,16,$$ - $$$,restaurant,4.5,"41 Little Collins St, Melbourne, Victoria 3000 Australia",416
Mamak,116,$,restaurant,4.0,"366 Lonsdale St, Melbourne, Victoria 3000 Australia",514
Donovans,1,$$$$,restaurant,4.5,"40 Jacka Boulevard, St Kilda, Port Phillip, Victoria 3182 Australia",1022
Brick Lane Melbourne,14,$$ - $$$,restaurant,4.5,"33 Guildford Lane, Melbourne, Victoria 3000 Australia",208
No35,104,$$$$,restaurant,4.0,"35/25 Collins St Level 35, Melbourne, Victoria 3000 Australia",929
La Camera Restaurant Southgate,145,$$ - $$$,restaurant,4.0,"Shop MR2, Mid-level, Southgate Southbank, Melbourne, Victoria 3006 Australia",1148
Brother Baba Budan,30,$,restaurant,4.5,"359 Little Bourke St Cbd, Melbourne, Victoria 3000 Australia",440
Japanese Teppanyaki Inn,107,$$$$,restaurant,4.5,"182 Collins St, Melbourne, Victoria 3000 Australia",219
Rosa's Canteen,138,$$ - $$$,restaurant,4.5,"Cnr Little Bourke & Thomson St Level 1, Melbourne, Victoria 3000 Australia",154
Two Birds One Stone,101,$$ - $$$,restaurant,4.5,"12 Claremont St, Melbourne, Victoria 3141 Australia",366
Red Emperor Chinese Restaurant,165,$$ - $$$,restaurant,4.0,"3 Southgate Ave M10/ Mid Level, Melbourne, Victoria 3006 Australia",534
Squires Loft South Yarra,93,$$ - $$$,restaurant,4.5,"166 Toorak Rd, Melbourne, Victoria 3141 Australia",383
Grossi  Florentino,133,$$$$,restaurant,4.0,"80 Bourke St, Melbourne, Victoria 3000 Australia",1262
Epocha,128,$$$$,restaurant,4.5,"49 Rathdowne St Carlton South, Melbourne, Victoria 3053 Australia",254
Magic Mountain Saloon,148,$$ - $$$,restaurant,4.0,"62 Little Collins St, Melbourne, Victoria 3000 Australia",289
The Bank on Collins,98,$$ - $$$,restaurant,4.0,"394 Collins St, Melbourne, Victoria 3000 Australia",393
Ponyfish Island,115,$$ - $$$,restaurant,4.0,"Underneath Evan Walker Pedestrian Bridge Southbank, Melbourne, Victoria 3006 Australia",479
IL Dolce Freddo,146,$,restaurant,4.5,"116 Lygon Street, Carlton, Melbourne, Victoria 3053 Australia",175
Osteria Ilaria,120,$$ - $$$,restaurant,4.5,"367 Little Bourke St, Melbourne, Victoria 3000 Australia",248
Juicy Bao,123,$,restaurant,4.5,"178-190 Little Bourke St Shop 2, Melbourne, Victoria 3000 Australia",365
Fitzrovia,3,$$ - $$$,restaurant,4.5,"155 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",732
Trattoria Emilia,141,$$ - $$$,restaurant,4.5,"360 Little Collins St Little Collins Street, Melbourne, Victoria 3000 Australia",261
Maha,45,$$$$,restaurant,4.5,"21 Bond St, Melbourne, Victoria 3000 Australia",1702
Tiamo,144,$$ - $$$,restaurant,4.0,"303 Lygon St Carlton, Melbourne, Victoria 3053 Australia",726
Vivace,1,$$ - $$$,restaurant,4.5,"317 Bay St, Brighton, Bayside, Victoria 3186 Australia",408
Conservatory,108,$$$$,restaurant,4.0,"Crown Entertainment Complex 8 Whiteman St 8 Whiteman St, Southbank, Melbourne, Victoria 3006 Australia",1129
Dukes Coffee Roasters,89,$,restaurant,4.5,"247 Flinders Lane, Melbourne, Victoria 3000 Australia",182
Trunk,129,$$ - $$$,restaurant,4.0,"275 Exhibition St, Melbourne, Victoria 3000 Australia",769
Becco,124,$$$$,restaurant,4.5,"11-25 Crossley St, Melbourne, Victoria 3000 Australia",378
Sally's Kitchen and Winebar,131,$$ - $$$,restaurant,4.5,"115 Little Lonsdale St, Melbourne, Victoria 3000 Australia",232
Higher Ground,134,$$ - $$$,restaurant,4.0,"650 Little Bourke St, Melbourne, Victoria 3000 Australia",713
The Recreation bistro x bottleshop,143,$$ - $$$,restaurant,4.5,"162-170 Queens Parade, Fitzroy North, Melbourne, Victoria 3068 Australia",109
Pellegrini's Espresso Bar,127,$,restaurant,4.0,"66 Bourke St, Melbourne, Victoria 3000 Australia",1067
DoDee Paidang Thai Bar and Cafe,117,$,restaurant,4.5,"353 Little Collins St, Melbourne, Victoria 3000 Australia",185
Ca de Vin,136,$$ - $$$,restaurant,4.0,"350 Bourke St Melbourne GPO, Melbourne, Victoria 3000 Australia",523
Terra Rossa Restaurant & Bar,137,$$ - $$$,restaurant,4.0,"87 Flinders Lane, Melbourne, Victoria 3000 Australia",458
Noir,3,$$$$,restaurant,4.5,"175 Swan St, Richmond, Yarra, Victoria 3121 Australia",234
Bistro Thierry,1,$$$$,restaurant,4.5,"511 Malvern Rd, Toorak, Stonnington, Victoria 3142 Australia",540
Bouzy Rouge,2,$$ - $$$,restaurant,4.5,"470 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",358
Sake Restaurant & Bar,180,$$ - $$$,restaurant,4.0,"100 St Kilda Rd Hamer Hall, Arts Centre, Melbourne, Victoria 3004 Australia",725
Ginger Olive Restaurant and Grill,164,$$ - $$$,restaurant,5.0,"U 2 38 Manchester Lane Corner Manchester Lane and Flinders Lane, Melbourne, Victoria 3000 Australia",80
Mercadante Woodfired Pizzeria,175,$$ - $$$,restaurant,4.5,"Shop 123, Lygon St Carlton, Melbourne, Victoria 3053 Australia",365
Palermo,166,$$ - $$$,restaurant,4.5,"401 Little Bourke St, Melbourne, Victoria 3000 Australia",143
France Soir,154,$$$$,restaurant,4.0,"11 Toorak Rd South Yarra, Melbourne, Victoria 3141 Australia",654
Blondie Bar,155,$$ - $$$,restaurant,4.0,"Corner Sturt Street & Southbank Boulevard, Southbank Melbourne Recital Centre, Melbourne, Victoria 3006 Australia",258
Ciao Cielo,159,$$ - $$$,restaurant,4.5,"115 Bay St, Melbourne, Victoria 3207 Australia",268
Madame Brussels,114,$$ - $$$,restaurant,4.0,"59-63 Bourke St Level 3, Above Spaghetti Tree Restaurant!, Melbourne, Victoria 3000 Australia",461
Pure South Dining,177,$$$$,restaurant,4.0,"3 Southgate Ave Southbank, Melbourne, Victoria 3006 Australia",927
Nobu Melbourne,178,$$$$,restaurant,4.0,"Crown Entertainment Complex 8 Whiteman St, Melbourne, Victoria 3006 Australia",1462
Stalactites,149,$$ - $$$,restaurant,4.0,"177-183 Lonsdale St, Melbourne, Victoria 3000 Australia",1473
St Ali Coffee Roasters,111,$$ - $$$,restaurant,4.0,"12-18 Yarra Pl, Melbourne, Victoria 3205 Australia",632
Hofbrauhaus,126,$$ - $$$,restaurant,4.0,"18-26 Market Lane In the heart of Chinatown, Melbourne, Victoria 3000 Australia",475
The Lui Bar,113,$$$$,restaurant,4.5,"Rialto L 55 525 Collins St, Melbourne, Victoria 3000 Australia",463
Centonove,1,$$$$,restaurant,4.5,"109 Cotham Rd, Kew, Boroondara, Victoria 3101 Australia",252
Axil Coffee Roasters,150,$$ - $$$,restaurant,4.5,"322 Burwood Rd Hawthorn Not Camberwell, Melbourne, Victoria 3122 Australia",200
Claypots Seafood Bar,4,$$ - $$$,restaurant,4.5,"213 Barkly St, St Kilda, Port Phillip, Victoria 3182 Australia",525
La Cucina Di Sandra,5,$$ - $$$,restaurant,5.0,"62 Lyndhurst St Warehouse 62, Richmond, Yarra, Victoria 3121 Australia",73
